,siteID,setDate,collectDate,precipCalcium,precipCalciumFlag,precipCalciumUncertainty,precipMagnesium,precipMagnesiumFlag,precipMagnesiumUncertainty,precipPotassium,precipPotassiumFlag,precipPotassiumUncertainty,precipSodium,precipSodiumFlag,precipSodiumUncertainty,precipAmmonium,precipAmmoniumFlag,precipAmmoniumUncertainty,precipNitrate,precipNitrateFlag,precipNitrateUncertainty,precipSulfate,precipSulfateFlag,precipSulfateUncertainty,precipPhosphate,precipPhosphateFlag,precipPhosphateUncertainty,precipChloride,precipChlorideFlag,precipChlorideUncertainty,precipBromide,precipBromideFlag,precipBromideUncertainty,pH,pHUncertainty,precipConductivity,precipConductivityUncertainty,externalRemarks,labConditionRemarks,sampleMass,NEONsite
0,BART,2020-06-16T15:30Z,2020-06-23T15:00Z,0.131,Debris observed in sample,0.006,0.026,Debris observed in sample,0.002,0.094,Debris observed in sample,0.002,0.164,Debris observed in sample,0.002,0.261,Debris observed in sample,0.018,1.016,Debris observed in sample,0.005,0.355,Debris observed in sample,0.005,0.008,Debris observed in sample,0.006,0.084,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,5.29,0.1,6.3,0.4,,Small bug present,41.82,BART
0,BART,2020-06-23T15:30Z,2020-07-07T14:20Z,0.012,,0.006,0.002,,0.002,0.004,,0.002,0.005,,0.002,0.048,,0.018,0.197,,0.005,0.081,,0.005,0.006,Below detection limit,0.006,0.016,,0.003,0,Below detection limit,0.004,5.3,0.1,2.6,0.4,,Black specs present,1677.19,BART
1,BART,2020-07-07T14:30Z,2020-07-20T14:17Z,0.037,,0.006,0.013,,0.002,0.011,,0.002,0.065,,0.002,0.104,,0.018,0.457,,0.005,0.252,,0.005,0.006,Below detection limit,0.006,0.107,,0.003,0.002,Below detection limit,0.004,5.1,0.1,5.4,0.4,,,1235.07,BART
0,BART,2020-07-20T14:34Z,2020-08-05T14:22Z,0.105,,0.006,0.047,,0.002,0.019,,0.002,0.325,,0.002,0.049,,0.018,0.342,,0.005,0.29,,0.005,0.004,Below detection limit,0.006,0.589,,0.003,0.002,Below detection limit,0.004,5.34,0.1,5.7,0.4,,,625.77,BART
1,BART,2020-08-05T14:00Z,2020-08-17T14:06Z,,Insufficient sample for analysis,,,Insufficient sample for analysis,,,Insufficient sample for analysis,,,Insufficient sample for analysis,,,Insufficient sample for analysis,,,Insufficient sample for analysis,,,Insufficient sample for analysis,,,Insufficient sample for analysis,,,Insufficient sample for analysis,,,Insufficient sample for analysis,,,,,,,No sample,,BART
0,BART,2020-08-17T15:00Z,2020-09-01T14:00Z,0.051,,0.006,0.008,,0.002,0.011,,0.002,0.017,,0.002,0.092,,0.018,0.307,,0.005,0.132,,0.005,0.003,Below detection limit,0.006,0.018,,0.003,0,Below detection limit,0.004,5.45,0.1,3,0.4,,,353.97,BART
1,BART,2020-09-02T14:00Z,2020-09-14T14:00Z,0.035,,0.006,0.023,,0.002,0.012,,0.002,0.214,,0.002,0.069,,0.018,0.491,,0.005,0.286,,0.005,0.005,Below detection limit,0.006,0.33,,0.003,0.002,Below detection limit,0.004,4.98,0.1,6.5,0.4,,,70.81,BART
0,BART,2020-09-14T14:00Z,2020-10-07T14:28Z,0.02,Debris observed in sample,0.006,0.007,Debris observed in sample,0.002,0.009,Debris observed in sample,0.002,0.037,Debris observed in sample,0.002,0.06,Debris observed in sample,0.018,0.229,Debris observed in sample,0.005,0.158,Debris observed in sample,0.005,0.006,Below detection limit|Debris in sample,0.006,0.068,Debris observed in sample,0.003,0.001,Below detection limit|Debris in sample,0.004,5.22,0.1,3.3,0.4,,Bug in sample,890.85,BART
1,BART,2020-10-07T14:28Z,2020-10-29T15:15Z,0.05,,0.006,0.011,,0.002,0.009,,0.002,0.044,,0.002,0.095,,0.018,0.222,,0.005,0.131,,0.005,0.001,Below detection limit,0.006,0.074,,0.003,0,Below detection limit,0.004,5.5,0.1,2.7,0.4,,,1625.78,BART
0,BART,2020-10-29T15:15Z,2020-11-09T17:14Z,0.069,,0.006,0.018,,0.002,0.023,,0.002,0.037,,0.002,0.076,,0.018,0.573,,0.005,0.177,,0.005,0.003,Below detection limit,0.006,0.042,,0.003,0,Below detection limit,0.004,5.24,0.1,4,0.4,,,109.76,BART
1,BART,2020-11-09T17:14Z,2020-11-17T18:35Z,0.026,,0.006,0.012,,0.002,0.015,,0.002,0.088,,0.002,0.073,,0.018,0.254,,0.005,0.179,,0.005,0.003,Below detection limit,0.006,0.145,,0.003,0,Below detection limit,0.004,5.32,0.1,3.7,0.4,,,408.42,BART
0,BART,2020-11-17T18:35Z,2020-12-03T15:30Z,0.019,,0.006,0.015,,0.002,0.008,,0.002,0.122,,0.002,0.056,,0.018,0.218,,0.005,0.135,,0.005,0,Below detection limit,0.006,0.217,,0.003,0.001,Below detection limit,0.004,5.36,0.1,3.5,0.4,,,1362.09,BART
1,BART,2020-12-03T15:30Z,2020-12-11T15:45Z,0.04,,0.006,0.005,,0.002,0.011,,0.002,0.034,,0.002,0.077,,0.018,0.507,,0.005,0.243,,0.005,0.006,Below detection limit,0.006,0.029,,0.003,0,Below detection limit,0.004,5.1,0.1,4.7,0.4,,,137.44,BART
2,BART,2020-12-11T15:45Z,2020-12-22T16:50Z,0.057,Debris observed in sample,0.006,0.009,Debris observed in sample,0.002,0.012,Debris observed in sample,0.002,0.045,Debris observed in sample,0.002,0.199,Debris observed in sample,0.018,1.046,Debris observed in sample,0.005,0.29,Debris observed in sample,0.005,0.005,Below detection limit|Debris in sample,0.006,0.078,Debris observed in sample,0.003,0,Below detection limit|Debris in sample,0.004,4.98,0.1,7.3,0.4,,Small black specs present,167.29,BART
