site,date,timeEST,NO3,DOC
RG22,3/5/2019,8:30,0.9886,0.4116
RG22,3/11/2019,9:00,0.4256,0.6025
RG22,3/18/2019,13:05,2.863,1.9078
RG22,3/25/2019,7:50,0.4113,0.6676
RG22,4/1/2019,7:30,2.1042,2.4893
RG22,4/9/2019,8:00,0.965,0.8949
RG22,4/15/2019,7:30,1.1844,1.1857
RG22,4/22/2019,6:05,0.5902,0.8367
RG22,4/30/2019,7:30,0.4633,1.6334
RG22,5/6/2019,12:15,1.5084,1.8173
RG22,5/13/2019,7:20,1.2829,2.3637
RG22,5/21/2019,7:05,0.502,4.4393
RG22,5/28/2019,7:20,1.1239,3.0965
RG22,6/2/2019,7:50,0.2094,2.4316
RG22,6/10/2019,7:20,0.6868,2.1047
RG22,6/17/2019,7:45,0.2205,2.0645
RG22,6/24/2019,7:05,0.2834,1.8038
RG22,7/1/2019,6:45,0.6262,2.2896
RG22,7/8/2019,6:50,,
RG22,7/15/2019,7:30,0.6902,2.2528
RG22,7/22/2019,8:00,0.0265,
RG22,7/29/2019,6:50,0.5337,5.3459
RG22,8/5/2019,7:40,0.5391,4.583
RG22,8/12/2019,7:00,0.6633,3.0312
RG22,8/19/2019,8:40,1.076,5.0105
RG22,8/26/2019,7:20,0.4797,2.0317
RG22,9/3/2019,7:00,0.2974,2.0001
RG22,9/9/2019,7:15,1.4903,
RG22,9/16/2019,7:10,1.7984,5.5896
RG22,9/23/2019,7:00,,
RG22,9/30/2019,6:35,0.5217,4.0882
RG22,10/7/2019,8:10,1.328,3.529
RG22,10/15/2019,7:30,0.342,3.9817
RG22,10/21/2019,8:00,0.2946,2.2313
RG22,10/28/2019,7:05,0.2584,1.6875
RG22,11/4/2019,8:30,0.4097,1.6141
RG22,11/11/2019,8:10,,
RG22,11/18/2019,8:15,2.4543,1.8237
RG22,11/25/2019,9:40,0.2334,0.3945
RG22,12/3/2019,7:30,1.0351,0.6498
RG22,12/9/2019,8:15,2.2954,1.7834
RG22,12/16/2019,7:55,0.3566,0.2037
RG22,12/23/2019,8:30,0.5497,0.4886
RG22,12/29/2019,14:35,1.684,1.0351
RG22,1/6/2020,8:15,0.2658,0.2461
RG22,1/13/2020,8:20,1.2204,0.6376
RG22,1/21/2020,8:30,0.973,0.4038
RG22,1/27/2020,8:30,0.3616,0.4506
RG22,2/3/2020,8:30,,
RG22,2/10/2020,13:50,0.5701,0.4105
RG22,2/17/2020,8:20,1.6895,0.7365
RG22,2/24/2020,11:50,0.6067,0.6347
RG22,3/2/2020,8:20,0.5068,0.4616
RG22,3/9/2020,7:45,,
RG22,3/16/2020,7:40,0.5313,0.8437
RG22,3/23/2020,6:10,,
RG22,3/31/2020,6:45,0.4771,0.6357
RG22,4/6/2020,14:00,,
RG22,4/14/2020,15:15,0.3283,1.2156
RG22,4/20/2020,7:00,,
RG22,4/28/2020,7:15,0.5459,1.9359
RG22,5/4/2020,8:00,0.2647,1.3805
RG22,5/12/2020,8:00,0.5515,2.5115
RG22,5/18/2020,7:30,0.6453,3.6946
RG22,5/26/2020,7:15,,
RG22,6/1/2020,6:55,0.6636,4.3889
RG22,6/8/2020,12:30,0.8766,7.0103
RG22,6/15/2020,7:30,1.3694,5.7778
RG22,6/22/2020,7:30,,
RG22,6/29/2020,7:25,0.3983,3.4117
RG22,7/6/2020,7:20,0.1643,3.1741
RG22,7/13/2020,11:50,0.6224,3.0536
RG22,7/20/2020,7:30,0.4365,2.7007
RG22,7/27/2020,7:15,0.4785,4.1272
RG22,8/3/2020,6:45,,
RG22,8/10/2020,7:25,0.5612,2.5409
RG22,8/17/2020,7:30,,
RG22,8/24/2020,13:30,0.3251,5.6414
RG22,8/31/2020,7:20,0.6485,4.1944
RG22,9/8/2020,10:35,0.5995,2.9829
RG22,9/14/2020,7:30,,
RG22,9/21/2020,8:45,,
RG22,9/28/2020,12:00,,
RG22,10/5/2020,7:35,0.3758,2.3941
RG22,10/14/2020,8:00,0.2434,2.6307
RG22,10/19/2020,7:35,0.1315,1.3455
RG22,10/25/2020,7:35,2.1793,5.8321
RG22,11/2/2020,6:45,0.649,1.154
RG22,11/9/2020,7:45,,
RG22,11/16/2020,7:30,0.4497,0.963
RG22,11/22/2020,9:15,,
RG22,11/30/2020,7:05,0.6285,0.684
RG22,12/7/2020,8:15,0.1176,0.3815
RG22,12/14/2020,7:15,1.5287,1.1044
RG22,12/21/2020,7:20,0.4877,0.2553
RG22,12/28/2020,7:10,0.2697,0.3325
RG22,1/4/2021,7:30,0.6,0.5348
RG22,1/11/2021,7:35,,
RG22,1/19/2021,7:15,0.9798,0.5707
RG22,1/25/2021,7:30,2.4976,1.0769
RG22,2/1/2021,7:25,,
RG22,2/8/2021,7:30,0.5412,0.7802
RG22,2/15/2021,14:20,2.16,0.8806
RG22,2/22/2021,7:35,0.2335,0.2697
RG22,3/3/2021,7:50,0.9301,0.6321
RG22,3/8/2021,7:20,,
RG22,3/15/2021,13:35,,
RG22,3/23/2021,8:20,,
RG22,3/29/2021,8:20,0.5124,1.1256
RG22,4/5/2021,9:05,1.121,1.1513
RG22,4/12/2021,8:30,,
RG22,4/19/2021,13:30,0.6847,2.7702
RG22,4/26/2021,8:20,1.3254,2.2346
RG22,5/3/2021,7:10,0.2858,0.8595
RG22,5/10/2021,7:30,0.4513,1.1178
RG22,5/17/2021,13:30,,
RG22,5/24/2021,11:30,,
